,tsne-2d-one,tsne-2d-two
0,-108.791885,-9.764033
1,77.76106,43.57601
2,49.52323,40.580402
3,-18.878242,-28.076777
4,97.78731,30.879904
5,106.8772,-37.90141
6,-72.47027,-20.796537
7,84.11915,31.302324
8,70.27713,41.080334
9,-117.96986,18.292934
10,7.113239,-28.43424
11,9.529625,70.56805
12,106.682915,34.837425
13,92.11085,49.874554
14,101.8693,42.22619
15,115.905846,-52.22839
16,-14.633801,-54.570427
17,-17.565624,0.986515
18,-6.171993,12.513947
19,-64.260216,-41.526653
20,-57.201733,-28.609638
21,-111.543335,40.735268
22,-97.71304,-11.603853
23,-39.71236,-60.059006
24,-57.58103,58.917534
25,-37.072014,53.684723
26,-6.5674067,-80.16968
27,-46.04986,30.787716
28,-72.18279,-89.54673
29,23.576988,-40.04723
30,83.30149,-40.38184
31,-5.0120325,-33.32489
32,1.2506844,-37.128143
33,125.536064,-8.033267
34,32.142906,89.126785
35,57.863186,-82.07523
36,-56.436333,-42.588028
37,-0.52530444,-98.89275
38,4.490736,-107.80899
39,-31.976957,-17.493849
40,100.05436,-31.434952
41,-68.802666,-61.601273
42,112.21796,-48.883766
43,100.225525,-31.33594
44,-81.04198,65.757
45,55.702328,-81.65162
46,80.24771,-86.96813
47,17.183435,-21.875145
48,45.050743,-104.90614
49,25.662031,120.23072
50,-22.426828,63.7232
51,-93.03547,-31.641275
52,-75.52399,-48.919384
53,-111.06831,40.85296
54,-13.596077,-9.886341
55,53.88146,-61.18975
56,59.721497,-56.779102
57,-42.72112,8.220151
58,25.464092,123.93413
59,-1.5606312,-49.792953
60,-63.903442,25.98597
61,20.514277,87.91102
62,-16.048353,-77.28974
63,-16.086506,-77.39575
64,-16.068533,-77.23325
65,48.82654,56.115906
66,90.58229,-39.414066
67,-112.81545,-70.40852
68,85.86415,-92.18778
69,-6.674533,-18.241083
70,-85.09151,86.50905
71,-29.281006,127.61829
72,-112.63614,47.276512
73,-52.223366,45.82965
74,18.14114,88.54215
75,65.93435,-53.718517
76,88.65247,-40.411507
77,77.850174,-2.3185067
78,59.185966,38.640366
79,59.273994,38.959743
80,8.183054,95.445015
81,-17.757528,-49.605705
82,143.08769,5.332581
83,-11.838316,-37.033638
84,-7.210112,55.90833
85,-124.43536,-67.58712
86,-39.96526,-77.87427
87,3.1738849,-28.297182
88,23.161737,37.158596
89,-19.790337,8.80131
90,-9.940402,69.17016
91,22.898922,121.03953
92,-57.81248,18.18028
93,65.31469,-55.0635
94,-84.8804,-66.9329
95,-55.73211,117.98628
96,0.23610966,45.636467
97,109.16556,-42.830555
98,62.80492,-100.87145
99,-44.62339,20.561213
100,-72.18413,69.97843
101,4.0359516,-27.387405
102,12.855805,-24.32867
103,87.920944,-56.609623
104,-7.211255,-67.86121
105,48.17042,-67.57084
106,39.94002,8.458816
107,-59.948093,-90.2589
108,-125.53098,45.212284
109,-43.489365,-75.35787
110,-105.87193,-163.34503
111,-124.463455,-66.36648
112,-8.388483,-19.608353
113,-44.123417,34.473976
114,-20.34081,19.053177
115,-38.93477,-54.140106
116,-40.697216,-14.467139
117,5.804372,-67.31619
118,13.475605,95.35056
119,110.30672,-47.972023
120,-69.83406,44.974216
121,-6.014985,-81.50326
122,-90.05298,-70.9341
123,-41.443554,-51.49947
124,76.00595,-2.9505317
125,75.403786,-93.78017
126,13.058414,84.04066
127,-65.369736,-33.858147
128,-26.930182,-41.958447
129,5.4409485,134.49402
130,-79.07986,67.01028
131,-56.0476,-59.024662
132,-56.218796,118.32114
133,-89.37086,60.186573
134,3.027284,38.779633
135,75.32543,-5.9792
136,31.48599,-183.71147
137,-61.510094,-28.965555
138,-52.413715,-37.624256
139,26.788654,118.006195
140,-32.99135,-12.695767
141,-33.634106,-40.186966
142,-46.009945,-62.15369
143,-15.855893,-65.90258
144,102.030685,-94.656334
145,-23.093672,54.375088
146,20.707163,28.460773
147,89.77674,-55.440586
148,11.9687395,-46.622047
149,-49.16206,3.320323
150,-29.993633,88.67064
151,65.23152,33.099102
152,-101.28813,40.68225
153,15.1456,-51.743065
154,-60.517612,-63.881153
155,-0.92734236,-48.024815
156,78.63461,61.850113
157,-123.44222,40.31529
158,-87.25568,80.621025
159,-87.238075,80.674904
160,-112.33116,-22.84065
161,-87.09154,81.10143
162,-19.656372,98.01236
163,-126.74127,-22.846766
164,-67.70145,-1.0204813
165,4.5117493,-39.014515
166,-2.7866755,-88.17406
167,-66.87893,4.517584
168,0.85825855,-89.76197
169,-44.91047,92.74168
170,-77.757645,-51.985428
171,45.56886,-102.12851
172,-32.64296,-81.697395
173,-2.469386,30.68288
174,-12.128102,-30.462868
175,179.91884,81.53714
176,37.42994,-80.62693
177,-46.19078,-11.052045
178,-2.182496,120.16146
179,83.63742,-57.146843
180,135.19627,4.9753213
181,-44.926586,-22.03713
182,-19.879843,-62.52242
183,-44.066517,-55.153553
184,17.976244,-49.74011
185,-21.17722,75.43667
186,71.875824,-53.73851
187,-1.5507543,-84.28335
188,63.643917,-62.203907
189,20.113651,-60.871296
190,99.60312,86.58134
191,99.70102,86.75577
192,64.64079,31.72529
193,97.42115,32.133484
194,63.5448,-82.02321
195,-4.1592135,-68.19628
196,-6.1374726,-60.744057
197,1.4097224,25.377022
198,-67.91374,127.208626
199,108.9257,-13.955916
200,42.143826,-18.14334
201,-84.5206,-34.23077
202,112.65367,-27.47533
203,-95.10734,-14.463113
204,109.83491,-14.075378
205,13.939495,91.195045
206,61.729565,81.67327
207,22.114317,-23.281967
208,-16.426775,-102.06142
209,8.61606,101.985344
210,61.323017,69.587425
211,63.915817,-3.1833303
212,120.434685,-37.155327
213,75.39619,71.046814
214,-79.035324,-12.022761
215,-89.35291,92.43537
216,-93.21864,-72.01083
217,-95.5516,-57.682674
218,-28.324512,58.989773
219,-90.574196,-29.022154
220,-19.030586,-40.47687
221,-28.395723,99.95921
222,-64.39489,80.03805
223,-41.815712,118.48911
224,-56.819183,10.697763
225,90.24037,63.248077
226,112.89205,67.16828
227,5.299335,-38.77068
228,-28.765299,64.79141
229,11.232363,-77.46555
230,3.510157,4.4736953
231,-51.505863,11.232156
232,89.10562,-53.02263
233,-125.120224,-64.88628
234,10.47301,-35.004917
235,-89.8106,6.4743485
236,-26.77899,-56.588573
237,66.55788,115.924286
238,76.40083,11.7211275
